id,phrase_id,role,text,kind,start,end,source_start,source_end,alignment_score,status,flags
lead-049-w001,lead-049,lead,Choose,lyric,184.670816,185.052816,184.288,184.67,0.614,needs_review,audible_attack_before_alignment
lead-049-w002,lead-049,lead,your,lyric,185.112816,185.273816,184.73,184.891,0.178,needs_review,weak_acoustic_match
lead-049-w003,lead-049,lead,favorite,lyric,185.353816,185.896816,184.971,185.514,0.487,needs_review,weak_acoustic_match
lead-049-w004,lead-049,lead,monster,lyric,185.997816,186.459816,185.615,186.077,0.682,machine_aligned,
lead-049-w005,lead-049,lead,beast.,lyric,186.520816,186.841816,186.138,186.459,0.663,machine_aligned,
lead-050-w001,lead-050,lead,Suit,lyric,187.266816,187.588816,186.884,187.206,0.607,needs_review,text_review; audible_attack_before_alignment
lead-050-w002,lead-050,lead,the,lyric,187.648816,187.890816,187.266,187.508,0.516,needs_review,weak_acoustic_match; text_review
lead-050-w003,lead-050,lead,way,lyric,187.990816,188.312816,187.608,187.93,0.835,needs_review,text_review
lead-050-w004,lead-050,lead,you,lyric,188.372816,188.593816,187.99,188.211,0.717,needs_review,text_review
lead-050-w005,lead-050,lead,wanna,lyric,188.634816,189.036816,188.252,188.654,0.618,needs_review,text_review
lead-050-w006,lead-050,lead,"be,",lyric,189.156816,189.257816,188.774,188.875,0.568,needs_review,text_review
lead-050-w007,lead-050,lead,"be,",lyric,189.337816,189.599816,188.955,189.217,0.556,needs_review,text_review
lead-050-w008,lead-050,lead,be.,lyric,189.699816,189.941816,189.317,189.559,0.474,needs_review,weak_acoustic_match; text_review; audible_tail_after_alignment
lead-051-w001,lead-051,lead,Hunting,lyric,190.306816,191.011816,189.924,190.629,0.649,needs_review,sustain_review; audible_attack_before_alignment
lead-051-w002,lead-051,lead,"Ed,",lyric,191.112816,191.233816,190.73,190.851,0.439,needs_review,weak_acoustic_match
lead-051-w003,lead-051,lead,head,lyric,191.314816,191.576816,190.932,191.194,0.738,machine_aligned,
lead-051-w004,lead-051,lead,hunting,lyric,191.656816,191.918816,191.274,191.536,0.557,machine_aligned,
lead-051-w005,lead-051,lead,Ted.,lyric,191.938816,192.260816,191.556,191.878,0.697,needs_review,audible_tail_after_alignment
lead-052-w001,lead-052,lead,Hide,lyric,191.943816,192.244816,191.561,191.862,0.563,needs_review,overlap_previous_word
lead-052-w002,lead-052,lead,and,lyric,192.365816,192.586816,191.983,192.204,0.527,needs_review,weak_acoustic_match
lead-052-w003,lead-052,lead,seek's,lyric,192.626816,192.928816,192.244,192.546,0.7,machine_aligned,
lead-052-w004,lead-052,lead,the,lyric,192.968816,193.068816,192.586,192.686,0.497,needs_review,weak_acoustic_match
lead-052-w005,lead-052,lead,game,lyric,193.129816,193.491816,192.747,193.109,0.769,machine_aligned,
lead-052-w006,lead-052,lead,that,lyric,193.511816,193.852816,193.129,193.47,0.36,needs_review,weak_acoustic_match
lead-052-w007,lead-052,lead,monsters,lyric,193.953816,194.656816,193.571,194.274,0.801,needs_review,sustain_review
lead-052-w008,lead-052,lead,play.,lyric,194.938816,195.762816,194.556,195.38,0.781,needs_review,sustain_review; window_edge
lead-053-w001,lead-053,lead,And,lyric,196.184816,196.384816,195.802,196.002,0.6,needs_review,text_review; audible_attack_before_alignment
lead-053-w002,lead-053,lead,"play,",lyric,196.444816,196.584816,196.062,196.202,0.277,needs_review,weak_acoustic_match; text_review
lead-053-w003,lead-053,lead,and,lyric,197.065816,197.205816,196.683,196.823,0.52,needs_review,weak_acoustic_match; text_review
lead-053-w004,lead-053,lead,"play,",lyric,197.246816,198.007816,196.864,197.625,0.712,needs_review,text_review; sustain_review
lead-053-w005,lead-053,lead,and,lyric,199.670816,199.851816,199.288,199.469,0.75,needs_review,text_review
lead-053-w006,lead-053,lead,"play,",lyric,199.931816,202.235816,199.549,201.853,0.804,needs_review,text_review; sustain_review
lead-053-w007,lead-053,lead,and,lyric,202.415816,202.596816,202.033,202.214,0.765,needs_review,text_review
lead-053-w008,lead-053,lead,play.,lyric,202.636816,204.660816,202.254,204.278,0.719,needs_review,text_review; sustain_review
lead-057-w001,lead-057,lead,Undone.,lyric,207.572816,208.318816,207.19,207.936,0.753,needs_review,text_review; sustain_review
